driver_id,raw_name,license_ref,hourly_wage_text,certifications_list,hired_date,email
D-101,Miguel Moreno,LIC-816063,22.12 EUR,ElectricVehicle-Hazmat-HeavyLoad,2023-11-25,miguel.moreno@ecomotive.com
D-102,CARMEN DIAZ,LIC-697157,37.78,NightShift-ElectricVehicle,2023-06-15,carmen.diaz@ecomotive.com
D-103,Elena Navarro,,23.3,Hazmat-International,2023-11-17,elena.navarro@ecomotive.com
D-104,Jorge Alvarez,LIC-273587,34.72 EUR,ElectricVehicle,2023-09-20,jorge.alvarez@ecomotive.com
D-105,Elena Romero,LIC-319656,22.0 EUR,International-HeavyLoad-NightShift,2023-09-24,elena.romero@ecomotive.com
D-106,Laura Lopez,LIC-768741,47.51,HeavyLoad-Hazmat-NightShift,2023-06-21,laura.lopez@ecomotive.com
D-107,isabel ruiz,LIC-335945,30.62,International-Hazmat-HeavyLoad,2023-09-04,isabel.ruiz@ecomotive.com
D-108,  David Alvarez  ,LIC-140454,31.12,International-HeavyLoad-ElectricVehicle,2023-04-17,david.alvarez@ecomotive.com
D-109,  CARLOS HERNANDEZ  ,LIC-850449,28.91,HeavyLoad,2023-07-26,carlos.hernandez@ecomotive.com
D-110,ana diaz,LIC-468978,32.16 EUR,ElectricVehicle,2023-01-15,ana.diaz@ecomotive.com
D-111,Maria Moreno,LIC-813280,20.19,ElectricVehicle,2023-08-05,maria.moreno@ecomotive.com
D-112,  Lucia Smith  ,,25.63 EUR,NightShift-International-ElectricVehicle,2023-06-27,lucia.smith@ecomotive.com
D-113,Juan Perez,LIC-997764,39.83,International-ElectricVehicle,2023-12-22,juan.perez@ecomotive.com
D-114,  Sofia Diaz  ,LIC-306823,35.95 EUR,Hazmat,2023-12-04,sofia.diaz@ecomotive.com
D-115,ana martin,LIC-826887,33.79 EUR,Hazmat-HeavyLoad-NightShift,2023-12-27,ana.martin@ecomotive.com
D-116,ana perez,LIC-453615,40.41 EUR,International-HeavyLoad,2023-10-09,ana.perez@ecomotive.com
D-117,Luis Romero,LIC-736881,35.71,Hazmat-NightShift-HeavyLoad,2023-01-20,luis.romero@ecomotive.com
D-118,CARMEN MORENO,LIC-484232,44.8,ElectricVehicle-NightShift,2023-10-24,carmen.moreno@ecomotive.com
D-119,  Laura Sanchez  ,LIC-733338,36.98,Hazmat-HeavyLoad,2023-11-14,laura.sanchez@ecomotive.com
D-120,David Gomez,LIC-484389,45.24,NightShift-HeavyLoad-ElectricVehicle,2023-02-26,david.gomez@ecomotive.com
D-121,pedro martin,LIC-429680,35.52 EUR,International-HeavyLoad-Hazmat,2023-06-07,pedro.martin@ecomotive.com
D-122,sofia sanchez,,35.54,Hazmat,2023-10-19,sofia.sanchez@ecomotive.com
D-123,  LAURA SANCHEZ  ,LIC-279988,47.44 EUR,International-Hazmat-HeavyLoad,2023-02-12,laura.sanchez@ecomotive.com
D-124,  Pedro Navarro  ,LIC-593330,41.22 EUR,International-ElectricVehicle-Hazmat,2023-05-16,pedro.navarro@ecomotive.com
D-125,Carlos Smith,LIC-497043,25.18,HeavyLoad-ElectricVehicle,2023-03-02,carlos.smith@ecomotive.com
D-126,miguel garcia,LIC-446419,38.86 EUR,Hazmat,2023-03-24,miguel.garcia@ecomotive.com
D-127,CARLOS ALVAREZ,LIC-515895,33.45,ElectricVehicle-HeavyLoad,2023-08-19,carlos.alvarez@ecomotive.com
D-128,Laura Hernandez,LIC-186085,29.41,Hazmat-International-ElectricVehicle,2023-03-27,laura.hernandez@ecomotive.com
D-129,  Pedro Alvarez  ,LIC-290549,20.9,ElectricVehicle,2023-03-28,pedro.alvarez@ecomotive.com
D-130,Pedro Perez,LIC-107845,21.71 EUR,NightShift,2023-02-14,pedro.perez@ecomotive.com
D-131,Luis Diaz,LIC-904416,27.69 EUR,ElectricVehicle,2023-04-01,luis.diaz@ecomotive.com
